model,level,avg_accuracy,avg_latency,num_files
base,clean,87.21000000000001,0.9378,10
base,level_heavy,84.43333333333334,0.9544333333333334,30
base,level_light,86.83,0.9641,30
base,level_medium,87.20333333333333,1.3118666666666667,30
small,clean,94.51,2.7271,10
small,level_heavy,92.04666666666667,3.1999666666666666,30
small,level_light,93.93333333333334,3.2580000000000005,30
small,level_medium,93.71666666666667,3.2803,30
tiny,clean,78.47,0.5093,10
tiny,level_heavy,72.83666666666666,0.7354333333333333,30
tiny,level_light,78.21666666666667,0.5361333333333334,30
tiny,level_medium,77.34333333333333,0.5307,30
