dialogue_id,direction,accuracy_pct,latency_s
1,vi2en,50.0,1.441
1,vi2en,100.0,0.175
1,vi2en,76.9,0.179
1,vi2en,55.6,0.158
1,vi2en,45.5,0.186
1,vi2en,70.0,0.199
2,en2vi,85.7,0.26
2,en2vi,88.2,0.218
2,en2vi,70.6,0.208
2,en2vi,93.3,0.224
2,en2vi,73.3,0.189
2,en2vi,71.4,0.164
3,vi2en,23.5,0.277
3,vi2en,54.5,0.152
3,vi2en,75.0,0.209
3,vi2en,70.0,0.148
3,vi2en,72.7,0.184
4,en2vi,70.0,0.16
4,en2vi,58.8,0.289
4,en2vi,73.7,0.306
4,en2vi,81.0,0.232
4,en2vi,64.3,0.15
5,vi2en,53.8,0.184
5,vi2en,46.2,0.157
5,vi2en,69.2,0.238
5,vi2en,9.1,0.218
5,vi2en,72.7,0.162
6,en2vi,57.1,0.215
6,en2vi,93.8,0.26
6,en2vi,93.3,0.25
6,en2vi,89.5,0.28
6,en2vi,42.9,0.206
7,vi2en,60.0,0.213
7,vi2en,75.0,0.16
7,vi2en,38.5,0.209
7,vi2en,53.8,0.177
7,vi2en,77.8,0.141
8,en2vi,40.0,0.212
8,en2vi,73.7,0.262
8,en2vi,75.0,0.183
8,en2vi,81.2,0.217
8,en2vi,46.7,0.167
9,vi2en,50.0,0.151
9,vi2en,85.7,0.111
9,vi2en,35.7,0.368
9,vi2en,53.8,0.187
9,vi2en,15.4,0.177
10,en2vi,14.3,0.28
10,en2vi,59.1,0.277
10,en2vi,66.7,0.135
10,en2vi,38.5,0.165
10,en2vi,100.0,0.175
